Location,Period,ParentLocation,banned,Population,FemaleCons,MaleCons,TotCons
Kyrgyzstan,2019,Europe,FALSE,6456200,1.47,8.7,4.95
Laos,2019,Western Pacific,FALSE,7212053,4.85,18.15,11.52
Latvia,2019,Europe,FALSE,1913822,5.99,21.73,13.09
Lebanon,2019,Eastern Mediterranean,FALSE,5781907,0.4,2.65,1.48
Lesotho,2019,Africa,FALSE,2225702,1.43,7.79,4.54
Liberia,2019,Africa,FALSE,4985289,1.43,5.94,3.64
Libya,2019,Eastern Mediterranean,TRUE,6569088,0.002,0.015,0.008
Lithuania,2019,Europe,FALSE,2794137,5.39,19.34,11.79
Luxembourg,2019,Europe,FALSE,620001,5.44,17.6,11.53
Madagascar,2019,Africa,FALSE,27533134,0.35,1.69,1.02
Malawi,2019,Africa,FALSE,18867337,1.16,5.52,3.24
Malaysia,2019,Western Pacific,FALSE,32804020,0.21,1.29,0.76
Maldives,2019,South-East Asia,TRUE,504508,0.27,2.22,1.43
Mali,2019,Africa,FALSE,20567424,1.22,7.42,4.35
Malta,2019,Europe,FALSE,504062,3.79,13.03,8.52
Mauritania,2019,Africa,TRUE,4383849,0,0,0
Mauritius,2019,Africa,FALSE,1265985,2.75,12.45,7.52
Mexico,2019,Americas,FALSE,125085311,2.3,9.38,5.72
Micronesia (Federated States of),2019,Western Pacific,FALSE,111379,0.72,3.53,2.12
Mongolia,2019,Western Pacific,FALSE,3232430,3.35,12.71,7.93
Montenegro,2019,Europe,FALSE,622028,4.31,16.86,10.34
Morocco,2019,Eastern Mediterranean,FALSE,36304408,0.11,0.86,0.49
Mozambique,2019,Africa,FALSE,30285595,0.68,3.48,2.03
Myanmar,2019,South-East Asia,FALSE,53040212,0.77,3.5,2.12
Namibia,2019,Africa,FALSE,2446644,2,10.27,5.93
Nauru,2019,Western Pacific,FALSE,12132,1.04,4.82,2.94
Nepal,2019,South-East Asia,FALSE,28832496,0.48,2.4,1.36
Netherlands,2019,Europe,FALSE,17344874,4.23,14.51,9.3
New Zealand,2019,Western Pacific,FALSE,4979200,4.66,15.36,9.89
Nicaragua,2019,Americas,FALSE,6663924,1.64,6.84,4.17
Niger,2019,Africa,FALSE,23443393,0.034,0.23,0.13
Nigeria,2019,Africa,FALSE,203304492,1.37,7.02,4.21
