Location,Period,ParentLocation,banned,Population,FemaleCons,MaleCons,TotCons
Afghanistan,2019,Eastern Mediterranean,TRUE,37769499,0.004,0.029,0.016
Albania,2019,Europe,FALSE,2854191,1.88,8.36,5.11
Algeria,2019,Africa,FALSE,42705368,0.14,1.07,0.61
Andorra,2019,Europe,FALSE,76343,5,16.94,11.05
Angola,2019,Africa,FALSE,32353588,2.71,9.82,6.17
Antigua and Barbuda,2019,Americas,FALSE,92117,3.63,14.02,8.51
Argentina,2019,Americas,FALSE,44938712,3.71,12.56,8.04
Armenia,2019,Europe,FALSE,2820602,2.15,8.67,4.98
Australia,2019,Western Pacific,FALSE,25340217,4.74,15.62,10.09
Austria,2019,Europe,FALSE,8879920,5.46,18.81,11.97
Azerbaijan,2019,Europe,FALSE,10024283,0.54,3.51,1.97
Bahamas,2019,Americas,FALSE,404557,1.87,7.2,4.39
Bahrain,2019,Eastern Mediterranean,FALSE,1494188,0.34,2.23,1.58
Bangladesh,2019,South-East Asia,FALSE,165516222,0.001,0.009,0.005
Barbados,2019,Americas,FALSE,280180,3.91,15.67,9.47
Belarus,2019,Europe,FALSE,9419758,4.89,18.19,10.9
Belgium,2019,Europe,FALSE,11488980,4.65,16.16,10.28
Belize,2019,Americas,FALSE,389095,2.38,9.04,5.71
Benin,2019,Africa,FALSE,12290444,3.27,13.52,8.35
Bhutan,2019,South-East Asia,FALSE,767459,0.063,0.32,0.2
Bolivia,2019,Americas,FALSE,11777315,1.9,6.3,4.1
Bosnia and Herz.,2019,Europe,FALSE,3360711,2.23,10.75,6.38
Botswana,2019,Africa,FALSE,2499702,2.81,13.82,8.16
Brazil,2019,Americas,FALSE,211782878,3.27,12.32,7.67
Brunei Darussalam,2019,Western Pacific,TRUE,438048,0.14,0.66,0.41
Bulgaria,2019,Europe,FALSE,6975761,4.91,19.51,11.92
Burkina Faso,2019,Africa,FALSE,20951639,3.31,16.59,9.81
Burundi,2019,Africa,FALSE,11874838,1.54,6.81,4.13
Côte d'Ivoire,2019,Africa,FALSE,26147551,0.95,4.61,2.8
Cabo Verde,2019,Africa,FALSE,577030,2.63,10.01,6.27
Cambodia,2019,Western Pacific,FALSE,16207746,3.43,13.8,8.48
Cameroon,2019,Africa,FALSE,25782341,4.14,16.18,10.1
Canada,2019,Americas,FALSE,37601230,4.34,15.59,9.9
